#Columns,21,,,,,,,,,,,,,,,,,,,,
#Header_Rows,12,,,,,,,,,,,,,,,,,,,,
Field_Name,Sample_Name,Material,00691_DIC_mg_per_L_as_C,71846_NH4_mg_per_L_as_NH4,71870_Br_mg_per_L,00915_Ca_mg_per_L,00940_Cl_mg_per_L,00950_F_mg_per_L,01130_Li_mg_per_L,00925_Mg_mg_per_L,71851_NO3_mg_per_L_as_NO3,71856_NO2_mg_per_L_as_NO2,00653_PO4_mg_per_L_as_PO4,00935_K_mg_per_L,00930_Na_mg_per_L,00945_SO4_mg_per_L_as_SO4,00681_NPOC_mg_per_L_as_C,00602_TN_mg_per_L_as_N,00530_TSS_mg_per_L,FTICR-MS,Methods_Deviation
N/A,SPS_0007-2,Liquid>aqueous,11.9,-9999,-9999,9.94,1.39,0.1,-9999,4.06,0.05,0.02,0.38,1.42,5.79,0.29,1.06,TN_0.0905_ppm_Below_0.1_ppm,-9999,See_FTICR_folder,Ca_CV_030;Mg_CV_030;K_CV_030;SO4_CV_030;F_BLC_000;DTL_000
N/A,SPS_0007-3,Liquid>aqueous,11.7,-9999,-9999,4.75,1.69,Fluoride_0.0787_ppm_Below_0.12_ppm,-9999,2.15,-9999,-9999,-9999,0.72,2.86,0.17,0.84,TN_0.0803_ppm_Below_0.1_ppm,-9999,See_FTICR_folder,Ca_CV_030;Mg_CV_030;K_CV_030;SO4_CV_030;DTL_000
N/A,SPS_0008-2,Liquid>aqueous,15.4,-9999,0.18,11,1.21,0.21,-9999,5.79,0.08,0.03,0.5,1.44,7.5,0.23,0.97,0.19,-9999,See_FTICR_folder,Ca_CV_030;Mg_CV_030;K_CV_030;SO4_CV_030;Br_BLC_000;F_BLC_000;TN_CV_030
N/A,SPS_0008-3,Liquid>aqueous,15.4,-9999,0.24,9.94,1.02,0.18,-9999,4.81,0.18,0.04,0.59,1.27,6.09,0.21,0.75,0.11,-9999,See_FTICR_folder,Ca_CV_030;Mg_CV_030;K_CV_030;SO4_CV_030;Br_BLC_000;Ca_BLC_000;TN_CV_030
N/A,SPS_0009-2,Liquid>aqueous,9.23,-9999,-9999,7.55,0.74,Fluoride_0.109_ppm_Below_0.13_ppm,-9999,3.04,0.04,0.04,-9999,1.41,3.97,0.37,0.79,TN_0.0603_ppm_Below_LOD_0.07_ppm,-9999,See_FTICR_folder,Cl_CV_030;F_CV_030;Ca_BLC_000;DTL_000
N/A,SPS_0010-2,Liquid>aqueous,24.3,-9999,0.26,16.4,1.13,0.14,-9999,8.56,0.25,0.02,-9999,2.21,7.85,0.28,0.7,TN_0.0736_ppm_Below_0.1_ppm,-9999,See_FTICR_folder,Cl_CV_030;Br_BLC_000;F_BLC_000;DTL_000
N/A,SPS_0010-3,Liquid>aqueous,27.3,-9999,0.09,14.9,1.56,0.1,-9999,6.97,0.08,0.02,-9999,2.14,-9999,0.22,0.95,TN_0.0755_ppm_Below_0.1_ppm,-9999,See_FTICR_folder,Cl_CV_030;F_BLC_000;DTL_000
N/A,SPS_0057-2,Liquid>aqueous,22.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.19,0.08,-9999,See_FTICR_folder,N/A
N/A,SPS_0012-2,Liquid>aqueous,13.4,-9999,Bromide_0.00582_ppm_Below_LOD_0.0084_ppm,9.96,2.59,0.17,-9999,4.83,0.09,0.04,-9999,1.7,7.2,0.3,1.06,0.1,-9999,See_FTICR_folder,Br_BLC_000;DTL_000;Ca_BLC_000
N/A,SPS_0012-3,Liquid>aqueous,13.4,-9999,Bromide_0.0552_ppm_Below_0.056_ppm,9.87,2.13,0.13,-9999,4.6,0.09,0.02,0.33,1.71,7.02,0.19,0.87,TN_0.0981_ppm_Below_0.1_ppm,-9999,See_FTICR_folder,Br_BLC_000;F_BLC_000;DTL_000
N/A,SPS_0042-2,Liquid>aqueous,13,-9999,Bromide_0.0505_ppm_Below_0.056_ppm,12.4,0.4,Fluoride_0.0939_ppm_Below_0.1_ppm,-9999,2.42,0.08,0.02,-9999,0.46,2.63,1.69,0.92,0.1,-9999,See_FTICR_folder,Br_BLC_000;DTL_000;F_BLC_000
